name,value,continent
Nepal,0.00,Asia
Nicaragua,0.00,North America
Niger,0.00,Africa
Nigeria,0.00,Africa
Norway,0.00,Europe
Oman,0.00,Asia
Pakistan,0.00,Asia
Palau,0.00,Oceania
Palestine,0.00,Asia
Panama,0.00,North America
Papua New Guinea,0.00,Oceania
Paraguay,0.00,South America
Peru,0.00,South America
Philippines,0.00,Asia
Portugal,0.00,Europe
Qatar,0.00,Asia
Rwanda,0.00,Africa
Saint Kitts & Nevis,0.00,North America
Saint Lucia,0.00,North America
Samoa,0.00,Oceania
San Marino,0.00,Europe
Sao Tome & Principe,0.00,Africa
Saudi Arabia,0.00,Asia
Senegal,0.00,Africa
Seychelles,0.00,Africa
Sierra Leone,0.00,Africa
Solomon Islands,0.00,Oceania
Somalia,0.00,Africa
South Sudan,0.00,Africa
Sri Lanka,0.00,Asia
St Vincent & the Grenadines,0.00,North America
Sudan,0.00,Africa
Suriname,0.00,South America
Swaziland,0.00,Africa
Syria,0.00,Asia
Tanzania,0.00,Africa
Timor-Leste,0.00,Asia
Togo,0.00,Africa
Tonga,0.00,Oceania
Trinidad and Tobago,0.00,North America
Tunisia,0.00,Africa
Turkmenistan,0.00,Asia
Tuvalu,0.00,Oceania
US Virgin Islands,0.00,North America
Uganda,0.00,Africa
United Arab Emirates,0.00,Asia
Uruguay,0.00,South America
Vanuatu,0.00,Oceania
Venezuela,0.00,South America
Yemen,0.00,Asia
Zambia,0.00,Africa
Zimbabwe,0.00,Africa
